Iteration,Block,Training Accuracy,Resource Used,Model Size,Test Accuracy,Eval Time
1,0,90.548,673355240.0,157046906,87.08,6.9342429637908936
1,1,90.694,682126016.0,157046906,87.08,6.95065450668335
1,2,90.59,688328384.0,157046906,87.08,7.350607395172119
1,3,90.634,686770880.0,157046906,87.08,6.939019680023193
1,4,90.596,688660160.0,157046906,87.08,7.029266119003296
1,5,90.546,692348608.0,157046906,87.08,7.389137029647827
1,6,64.12,693348112.0,157046906,87.08,7.3213818073272705
2,0,91.078,655570408.0,156530682,87.39,6.998736619949341
2,1,91.12599999999999,664341184.0,156530682,87.39,6.952806711196899
2,2,91.108,670543552.0,156530682,87.39,7.320672988891602
2,3,91.116,668986048.0,156530682,87.39,6.911284446716309
2,4,91.044,672799168.0,156530682,87.39,6.895954370498657
2,5,90.7,675202752.0,156530682,87.39,6.938656806945801
2,6,66.316,681024848.0,156530682,87.39,6.941415786743164
3,0,91.38199999999999,633765352.0,156005242,87.48,6.961651802062988
3,1,91.306,643314880.0,156005242,87.48,6.906245470046997
3,2,91.264,648738496.0,156005242,87.48,6.922425746917725
3,3,91.4,648349120.0,156005242,87.48,7.051751375198364
3,4,91.314,650994112.0,156005242,87.48,6.98865270614624
3,5,91.02799999999999,654143168.0,156005242,87.48,7.003514766693115
3,6,66.456,659219792.0,156005242,87.48,7.006082773208618
4,0,91.654,611570920.0,139773370,87.64,7.36216139793396
4,1,91.57,621120448.0,139773370,87.64,7.328036308288574
4,2,91.546,627712192.0,139773370,87.64,6.940226316452026
4,3,91.57600000000001,626154688.0,139773370,87.64,6.995824098587036
4,4,91.56800000000001,630259840.0,139773370,87.64,6.985451698303223
4,5,91.312,632587712.0,139773370,87.64,7.367743730545044
4,6,68.448,637025360.0,139773370,87.64,7.390096426010132
5,0,91.71000000000001,593481640.0,139406906,87.51,6.960390329360962
5,1,91.73599999999999,603031168.0,139406906,87.51,7.053239107131958
5,2,91.73400000000001,614782144.0,139406906,87.51,6.997318983078003
5,3,91.69800000000001,609525568.0,139406906,87.51,6.960157155990601
5,4,91.512,612170560.0,139406906,87.51,6.937628746032715
5,5,91.338,615158656.0,139406906,87.51,7.066124677658081
5,6,65.608,618936080.0,139406906,87.51,6.947798490524292
6,0,91.872,578003944.0,139241594,87.74,6.870144844055176
6,1,91.796,588137536.0,139241594,87.74,7.29553747177124
6,2,91.712,599304448.0,139241594,87.74,6.914244651794434
6,3,91.77199999999999,594923968.0,139241594,87.74,6.957582712173462
6,4,91.718,596692864.0,139241594,87.74,7.36762261390686
6,5,91.38,600250816.0,139241594,87.74,7.3503923416137695
6,6,68.246,603458384.0,139241594,87.74,6.946303367614746
7,0,91.744,541225744.0,138875194,87.78,6.954389572143555
7,1,92.096,553692136.0,138875194,87.78,6.9642744064331055
7,2,92.01599999999999,562526248.0,138875194,87.78,7.035265684127808
7,3,92.024,558145768.0,138875194,87.78,7.351488351821899
7,4,91.908,563532520.0,138875194,87.78,6.980910539627075
7,5,91.60199999999999,564042472.0,138875194,87.78,7.005415439605713
7,6,68.118,566680184.0,138875194,87.78,6.927473306655884
8,0,92.04,525748048.0,138610426,87.66,6.991108417510986
8,1,92.05600000000001,538798504.0,138610426,87.66,6.954296827316284
8,2,91.938,547048552.0,138610426,87.66,6.97386908531189
8,3,91.92,543544168.0,138610426,87.66,6.988911390304565
8,4,91.994,548054824.0,138610426,87.66,6.932993173599243
8,5,91.83200000000001,549134632.0,138610426,87.66,7.343478441238403
8,6,68.58999999999999,551202488.0,138610426,87.66,6.92243504524231
9,0,92.19000000000001,504353104.0,138161082,87.71,6.858541250228882
9,1,92.092,515070760.0,138161082,87.71,7.005836009979248
9,2,92.03,523904872.0,138161082,87.71,6.976482391357422
9,3,92.2,519816424.0,138161082,87.71,6.952924728393555
9,4,92.11399999999999,524327080.0,138161082,87.71,6.998580694198608
9,5,91.862,525976744.0,138161082,87.71,7.017126560211182
9,6,67.472,527474744.0,138161082,87.71,6.92663836479187
10,0,92.166,485371024.0,137861518,87.98,6.890214681625366
